child,parent,description
root,,root
E,root,E
E183-M-1981,E,444 days : The american hostage story 
E183-W-1985,E,444 days : the hostages remember 
E876-D-1991,E,A very thin line : the Iran-Contra affairs 
E840-A-1989,E,Advise & dissent : memoirs of South Dakota and the U.S. Senate 
E183-N-1983,E,After the Palestine-Israel War : limits to U.S. and Israeli policy 
E183-S-1985,E,All fall down : America's tragic encounter with Iran.
E183-H-1996,E,America and Egypt : from Roosevelt to Eisenhower 
E183-A-1985,E,American hostages in Iran
E183-A-1985,E,American hostages in Iran : the conduct of a crisis 
E183-G-1987,E,American public opinion toward Israel and the Arab-Israeli conflict 
E184-A-1991,E,An ancient heritage :the Arab-American minority 
E340-E-1968,E,Barbary General : the life of William H. Eaton 
E184-O-1988,E,Before the flames : a quest for the history of Arab Americans 
E415-H-1958,E,Born to adventure : the true story of Haji Williamson : sea rover and desert nomad 
E183-S-1985,E,Breaking with Moscow 
E183-A-1995,E,Broken covenant : American foreign policy and the crisis between the U.S. and Israel 
E183-A-1980,E,Bureaucracy and cold war diplomacy : the United States and Turkey
E876-H-1984,E,Caveat : realism
E184-A-1991,E,Children of the roojme : a family's journey 
E335-T-1963,E,Dawn like thunder ; the Barbary wars and the birth of the U.S. Navy 
E183-B-1985,E,Between Washington and Jerusalem : a reporter's notebook 
E183-B-1983,E,Delta force 
E748-H-1993,E,Diplomatic chronicles of the Middle East : a biography of Ambassador Raymond A. Hare 
E183-A-1993,E,Eisenhower and Israel : U.S.-Israeli relations
E840-A-1992,E,General H. Norman Schwarzkopf : the autobiography : it doesn't take a hero 
E183-K-1982,E,Guest of the revolution 
E840-B-1988,E,Guts and glory : the rise and fall of Oliver North 
E183-E-1981,E,Hostage 
E183-E-1988,E,Imagery and ideology in U.S. policy toward Libya
E183-Q-1981,E,Inside and out
E183-Q-1981,E,Inside and out : hostage to Iran
E183-P-1991,E,Iran
E183-G-1983,E,Israel in the mind of America 
E184-G-1997,E,Jewish power : inside the American Jewish establishment 
E876-M-1988,E,Landslide : the unmaking of the president 1984-1988 
E183-P-1989,E,Love from America : a newsman's account of efforts to aid hostages in Tehran 
E876-C-1988,E,Men of zeal : a candid inside story of the Iran-Contra hearings 
E882-G-1992,E,Mr. Bush's war : adventures in the politics of illusion 
E183-S-1989,E,Nasser and American foreign policy
E183-T-1988,E,Nest of spies : America's journey to disaster in Iran 
E183-T-1988,E,Nest of spies : America's journey to disaster in Iran 
E840-A-1984,E,Obbligato
E184-O-1995,E,Occidentalism : images of the West 
E183-F-1983,E,On wings of eagles 
E840-A-1995,E,P.S.
E183-R-1980,E,Paved with good intentions : the American experience and Iran 
E99S54-S-1907,E,My life as an Indian : the story of a red woman and a white man in the lodges of the Blakfeet 
E99S54-W-1910,E,Material ulture of the Blakfoot Indians 
E99S54-W-1913,E,Soieties and dane assoiations of the Blakfoot Indians 
E99S54-W-1918,E,The sun dane of the Blakfoot Indians 
E99T17-F-2000,E,is dideen kat (when the plumes rise) : the way of the Lake Babine Nation 
