child,parent,description
JA84-B-2012,JA,China : the political philosophy of the middle kingdom 
JQ3096-U-2005,JQ,Contesting the Nigerian state : civil society and the contradictions of self-organization 
JN30-P-2013,JN,A dictionary of the European Union 
JZ5538-R-2013,JZ,Discourse
JF1525-E-2013,JF,E-government success factors and measures : theories
JN40-E-2013,JN,Enacting European citizenship 
JN33-G-2013,JN,Enlarging the European Union : the commission seeking influence
JZ1570-J-2013,JZ,The EU's democracy promotion and the Mediterranean neighbours : orientation
JZ6369-H-2013,JZ,The history and practice of humanitarian intervention and aid in Africa 
JN40-K-2013,JN,Is Europe listening to us? : successes and failures of EU citizen consultations 
JF801-M-2013,JF,Multilevel citizenship 
JZ1318-A-2013,JZ,New age globalization : meaning and metaphors 
JF799-N-2013,JF,New technology
JF2112-P-2013,JF,Political marketing : strategic 'campaign culture' 
JQ231-P-2013,JQ,Public administration in South Asia : India
JQ231-M-2013,JQ,Public policy and politics in India 
JZ1305-R-2013,JZ,Relational
JV7590-S-2013,JV,Shifting boundaries of belonging and new migration dynamics in Europe and China 
JQ1769-S-2013,JQ,Transitional justice in South Asia : a study of Afghanistan and Nepal 
JF1081-H-2013,JF,Corruption
JC479-T-2013,JC,The double crisis of the welfare state and what we can do about it 
JV7590-R-2013,JV,The EU and immigration policies : cracks in the walls of fortress Europe? 
JZ1318-B-2013,JZ,Global civil society and transversal hegemony : the globalization-contestation nexus 
JZ5538-G-2013,JZ,Globalization
JZ1318-G-2013,JZ,Governing the world? : cases in global governance 
JV305-I-2013,JV,Irish and Scottish encounters with indigenous peoples : Canada
JC497-G-2013,JC,Legitimacy and revolution in a society of masses : Max Weber
JN36-K-2013,JN,Lobbying in the European Union : interest groups
JZ1480-R-2013,JZ,Mechanistic realism and US foreign policy : a new framework for analysis 
JV6035-M-2013,JV,Migration : practices
JC481-E-2013,JC,Nazism as Fascism : violence
JZ6374-E-2013,JZ,Political aspirations and perils of security : unpacking the military strategy of the United Nations 
JN1129-B-2013,JN,Portrait of a party : the Conservative Party in Britain 1918-1945 
JZ6385-M-2013,JZ,Proxy warfare 
JZ4839-R-2013,JZ,Routledge handbook of international organization 
JC423-U-2013,JC,US foreign policy and democracy promotion 
JN979-A-2013,JN,The aftermath of suffrage : women
JZ1308-D-2013,JZ,Being in the world : dialogue and cosmopolis 
JZ1305-B-2013,JZ,Class
JZ5595-S-2013,JZ,Conflict assessment and peacebuilding planning : toward a participatory approach to human security 
JZ1570-E-2013,JZ,The EU and its neighbours : values versus security in European foreign policy 
JN175-E-2013,JN,European contexts for English republicanism 
JN13-E-2013,JN,The Europeanization of European politics 
JZ1318-W-2013,JZ,Global governance : what? why? whither? 
JN318-M-2013,JN,How Europe shapes British public policy  
JZ6300-A-2013,JZ,Improving international capacity development : bright spots 
JN96-M-2013,JN,Institutional legacies of communism : change and continuities in minority protection 
JZ1238-B-2013,JZ,International relations discipline in France : writing between discipline and state 
JA71-G-2013,JA,Models of political competence : the evolution of political norms in the works of Burgundian and Habsburg court historians
JF1351-T-2013,JF,Policy alienation and the power of professionals : confronting new policies 
JN12-T-2013,JN,Post-communist democracies and party organization 
JF1061-P-2013,JF,Power sharing in deeply divided places 
JC574-W-2013,JC,The progressive revolution : liberal fascism through the ages. Volume II
JQ1828-K-2013,JQ,Reproducing sectarianism : advocacy networks and the politics of civil society in postwar Lebanon 
JZ6009-S-2013,JZ,Shaping South East Europe's security community for the twenty-first century : trust
JV7633-A-2013,JV,Us and them? : the dangerous politics of immigration control 
